Idade, Força(kg), Condicionamento
21,36,0
34,36,0
36,38,0
28,16,0
36,49,0
47,15,0
22,8,0
31,17,0
20,44,0
36,4,0
32,21,0
31,42,0
31,40,0
32,44,0
32,54,0
29,55,0
33,37,0
28,50,0
36,28,0
33,39,0
40,47,0
36,8,0
29,56,0
31,28,0
59,41,0
21,40,0
41,24,0
43,19,0
52,28,0
43,15,0
43,12,0
31,39,0
28,10,0
36,27,0
56,4,0
34,40,0
43,18,0
67,33,0
48,14,0
42,32,0
27,37,0
33,25,0
60,42,0
47,14,0
33,72,0
52,35,0
30,59,0
27,34,0
33,32,0
30,9,0
35,25,0
53,26,0
29,29,0
32,49,0
33,26,0
33,19,0
41,41,0
29,53,0
29,9,0
29,28,0
24,44,0
24,49,0
24,49,0
33,10,0
42,19,0
31,8,0
35,56,0
29,3,0
38,23,0
33,21,0
32,7,0
29,57,0
38,48,0
32,72,0
39,57,0
29,23,0
34,57,0
34,47,0
49,25,0
25,12,0
32,51,0
27,43,0
30,18,0
35,6,0
33,19,0
29,64,0
28,46,0
24,52,0
33,33,0
54,35,0
24,40,0
32,95,0
37,4,0
30,8,0
35,18,0
37,8,0
24,58,0
28,8,0
33,46,0
39,6,0
32,51,0
1,38,0
28,8,0
32,14,0
71,32,0
34,23,0
46,82,0
63,49,0
49,4,0
29,71,0
33,5,0
29,4,0
29,7,0
26,29,0
35,36,0
26,26,0
19,35,0
36,31,0
32,38,0
54,10,0
35,41,0
47,13,0
67,41,0
25,32,0
33,19,0
47,22,0
28,10,0
40,58,0
30,92,0
34,9,0
36,24,0
32,28,0
31,35,0
42,16,0
79,6,0
29,68,0
25,34,0
39,43,0
33,42,0
29,40,0
22,21,0
79,4,0
39,20,0
32,19,0
45,3,0
31,28,0
45,19,0
29,10,0
31,41,0
23,27,0
35,19,0
29,35,0
67,35,0
30,66,0
36,42,0
29,43,0
36,26,0
49,21,0
23,13,0
52,19,0
54,0,0
44,1,0
23,16,0
50,19,0
35,36,0
64,27,0
38,9,0
38,11,0
56,45,0
40,0,0
53,27,0
39,27,0
28,49,0
29,51,0
53,39,0
23,16,0
50,22,0
14,39,0
16,4,0
29,66,0
45,11,0
37,31,0
35,24,0
79,10,0
32,34,0
34,3,0
33,43,0
53,33,0
31,61,0
42,17,0
28,10,0
67,44,0
40,70,0
38,27,0
31,46,0
35,26,0
29,42,0
24,35,0
20,47,0
21,50,0
20,51,0
27,48,0
23,35,0
32,8,0
25,50,0
24,50,0
22,51,0
36,18,0
20,69,0
38,30,0
31,29,0
29,69,0
21,50,0
20,44,0
20,44,0
21,50,0
20,50,0
22,39,0
22,11,0
22,34,0
21,50,0
22,1,0
40,53,0
40,5,0
43,45,0
33,42,0
55,63,0
39,34,0
29,14,0
19,46,0
21,49,0
19,36,0
20,38,0
20,33,0
20,34,0
55,27,0
49,29,0
28,31,0
20,49,0
22,30,0
21,49,0
22,48,0
21,48,0
20,50,0
22,37,0
22,29,0
21,27,0
22,50,0
20,45,0
20,1,0
22,50,0
22,49,0
35,3,0
29,73,0
26,35,0
28,43,0
33,24,0
35,73,0
32,49,0
29,68,0
37,59,0
29,47,0
28,42,0
31,54,0
39,49,0
23,20,0
54,4,0
19,47,0
37,29,0
24,41,0
56,24,0
24,59,0
23,3,0
37,65,0
45,18,0
33,72,0
35,4,0
33,45,0
26,3,0
62,33,0
39,34,0
65,18,0
31,57,0
31,83,0
21,42,0
19,30,0
21,27,0
23,23,0
21,38,0
23,25,0
19,24,0
26,32,0
25,61,0
34,19,0
49,59,0
23,9,0
35,17,0
34,41,0
64,40,0
25,8,0
32,76,0
52,17,0
36,44,0
34,9,0
17,28,0
28,36,0
39,59,0
90,18,0
25,26,0
29,73,0
42,32,0
39,40,0
26,28,0
65,25,0
25,32,0
36,31,0
25,10,0
47,67,0
57,43,0
42,15,0
25,27,0
24,49,0
31,9,0
25,6,0
36,40,0
31,25,0
31,26,0
31,46,0
31,49,0
31,3,0
43,24,0
39,18,0
54,42,0
27,4,0
33,33,0
27,6,0
29,34,0
36,4,0
32,59,0
24,82,0
43,63,0
22,8,0
35,11,0
29,48,0
12,11,0
18,43,0
26,52,0
33,90,0
25,59,0
31,13,0
48,32,0
20,57,0
37,59,0
24,90,0
36,57,0
24,19,0
35,51,0
39,30,0
26,37,0
34,48,0
32,66,0
32,50,0
26,37,0
31,27,0
40,73,0
27,43,0
18,32,0
44,4,0
28,41,0
46,19,0
39,43,0
26,36,0
40,33,0
32,60,0
33,25,0
21,44,0
24,17,0
34,28,0
31,7,0
44,19,0
40,70,0
47,43,0
33,12,0
19,63,0
22,60,0
31,18,0
20,47,0
31,34,0
25,3,0
39,17,0
30,72,0
39,12,0
24,27,0
33,41,0
20,53,0
25,50,0
21,51,0
21,95,0
17,65,0
21,64,0
39,15,0
31,91,0
27,44,0
35,15,0
10,14,0
10,27,0
86,42,0
75,37,0
10,29,0
10,25,0
31,43,0
25,71,0
19,54,0
21,101,0
37,0,0
31,5,0
23,82,0
27,27,0
23,26,0
29,36,0
23,40,0
10,42,0
78,7,0
39,39,0
37,50,0
53,30,0
31,63,0
21,17,0
21,19,0
36,48,0
29,48,0
41,39,0
28,8,0
41,7,0
41,36,0
39,5,0
31,3,0
27,52,0
23,38,0
20,8,0
23,36,0
28,7,0
39,43,0
31,17,0
39,27,0
37,18,0
26,27,0
29,29,0
15,36,0
