Idade, Força(kg), Condicionamento
21,65,0
34,42,0
36,3,0
28,18,0
36,42,0
47,17,0
22,17,0
31,20,0
20,81,0
36,4,0
32,17,0
31,23,0
31,35,0
32,44,0
32,56,0
29,62,0
33,38,0
28,51,0
36,31,0
33,41,0
40,49,0
20,256,0
36,8,0
29,61,0
31,19,0
59,49,0
21,38,0
41,4,0
43,16,0
52,23,0
43,9,0
43,7,0
43,10,0
43,12,0
31,51,0
28,11,0
36,24,0
34,51,0
43,16,0
67,35,0
48,13,0
42,2,0
27,37,0
33,31,0
29,27,0
60,37,0
47,16,0
29,35,0
52,32,0
30,66,0
27,32,0
33,35,0
29,43,0
30,8,0
35,29,0
53,20,0
29,30,0
32,44,0
33,33,0
56,49,0
41,49,0
29,41,0
29,33,0
29,8,0
24,32,0
24,34,0
24,44,0
33,49,0
42,14,0
31,3,0
35,10,0
29,18,0
38,25,0
24,49,0
33,50,0
32,7,0
29,46,0
38,40,0
32,5,0
39,55,0
29,26,0
34,75,0
34,35,0
25,46,0
32,10,0
28,16,0
27,41,0
35,6,0
33,46,0
29,58,0
28,46,0
24,72,0
33,32,0
54,55,0
24,35,0
32,100,0
37,13,0
30,14,0
35,29,0
24,47,0
28,7,0
33,58,0
32,53,0
1,34,0
28,3,0
32,48,0
71,29,0
46,78,0
25,5,0
63,51,0
49,12,0
29,75,0
33,6,0
29,8,0
35,42,0
26,32,0
19,29,0
36,13,0
33,26,0
32,14,0
54,20,0
35,42,0
47,14,0
67,22,0
25,37,0
33,46,0
47,23,0
40,26,0
30,24,0
34,20,0
36,24,0
33,46,0
32,47,0
31,16,0
42,34,0
79,6,0
29,56,0
25,36,0
39,42,0
33,40,0
29,42,0
22,30,0
39,27,0
32,42,0
31,29,0
45,6,0
45,0,0
29,44,0
31,43,0
29,49,0
23,29,0
67,29,0
29,39,0
30,65,0
36,40,0
29,39,0
36,25,0
49,24,0
23,12,0
23,17,0
50,43,0
35,33,0
64,34,0
56,30,0
45,27,0
28,54,0
38,22,0
29,49,0
28,39,0
53,37,0
23,16,0
14,43,0
16,19,0
29,55,0
35,50,0
79,12,0
32,37,0
34,3,0
33,39,0
53,25,0
31,45,0
42,34,0
41,50,0
28,11,0
67,42,0
40,38,0
38,25,0
31,25,0
35,39,0
29,19,0
24,32,0
20,4,0
21,50,0
20,49,0
27,49,0
23,37,0
32,3,0
25,50,0
24,19,0
22,49,0
36,35,0
20,102,0
31,24,0
29,58,0
21,4,0
20,11,0
20,50,0
21,51,0
20,7,0
22,43,0
22,46,0
22,29,0
21,49,0
22,6,0
40,55,0
43,41,0
33,39,0
45,22,0
55,56,0
39,24,0
19,44,0
21,50,0
19,38,0
20,36,0
45,25,0
20,50,0
34,29,0
20,31,0
55,28,0
49,39,0
28,28,0
20,2,0
22,27,0
21,41,0
22,40,0
21,50,0
20,19,0
22,41,0
22,51,0
21,29,0
22,2,0
20,4,0
20,2,0
22,50,0
22,6,0
35,3,0
29,68,0
26,16,0
28,51,0
33,51,0
35,65,0
32,12,0
29,65,0
18,6,0
37,62,0
29,37,0
28,34,0
31,26,0
39,49,0
23,31,0
54,5,0
19,56,0
35,4,0
39,45,0
37,32,0
24,94,0
56,29,0
45,23,0
24,48,0
23,4,0
37,59,0
45,20,0
33,63,0
33,47,0
39,21,0
65,18,0
31,70,0
31,55,0
19,31,0
21,28,0
23,25,0
21,39,0
23,29,0
19,23,0
26,36,0
34,58,0
49,18,0
23,24,0
34,36,0
55,30,0
64,39,0
25,8,0
32,65,0
36,49,0
17,40,0
28,36,0
39,57,0
44,15,0
90,23,0
25,3,0
29,49,0
42,32,0
39,35,0
26,30,0
65,23,0
25,29,0
36,23,0
25,20,0
47,64,0
57,80,0
42,15,0
25,38,0
24,37,0
31,10,0
25,5,0
36,52,0
31,20,0
31,34,0
31,22,0
31,14,0
43,61,0
39,21,0
54,39,0
27,4,0
33,19,0
27,6,0
29,34,0
36,4,0
24,79,0
43,66,0
22,3,0
35,62,0
29,50,0
12,11,0
18,42,0
26,47,0
33,48,0
25,64,0
31,12,0
48,35,0
24,31,0
20,55,0
37,58,0
24,96,0
36,58,0
35,53,0
24,19,0
39,26,0
34,56,0
26,42,0
32,57,0
32,49,0
26,26,0
31,27,0
40,44,0
27,49,0
18,25,0
44,47,0
28,2,0
46,31,0
39,41,0
26,31,0
40,36,0
32,65,0
31,32,0
33,26,0
21,49,0
34,64,0
40,22,0
31,3,0
44,22,0
40,53,0
47,46,0
33,3,0
19,69,0
22,61,0
31,3,0
20,41,0
31,3,0
25,3,0
39,27,0
39,12,0
33,38,0
20,61,0
25,56,0
21,92,0
21,100,0
17,44,0
21,56,0
39,13,0
31,90,0
27,34,0
31,41,0
25,63,0
19,56,0
21,100,0
37,29,0
31,21,0
23,64,0
27,32,0
80,3,0
84,14,0
23,22,0
10,50,0
29,5,0
23,32,0
39,33,0
37,35,0
53,33,0
31,40,0
36,49,0
29,38,0
41,25,0
28,8,0
41,15,0
41,3,0
39,19,0
31,15,0
27,52,0
23,44,0
23,31,0
20,8,0
28,66,0
39,43,0
31,5,0
39,28,0
26,3,0
29,43,0
15,3,0
32,48,0
38,28,0
36,36,0
40,67,0
44,43,0
31,22,0
44,17,0
29,61,0
39,3,0
29,43,0
34,12,0
65,24,0
27,82,0
48,26,0
31,5,0
36,18,0
38,17,0
47,34,0
27,54,0
44,42,0
30,25,0
17,25,0
44,1,0
47,4,0
46,29,0
28,151,0
29,13,0
57,3,0
44,41,0
24,30,0
21,57,0
19,59,0
44,33,0
18,60,0
21,18,0
31,3,0
13,17,0
56,56,0
16,26,0
19,47,0
30,55,0
29,85,0
32,46,0
34,49,0
17,101,0
30,40,0
45,45,0
51,54,0
31,10,0
24,9,0
33,18,0
31,33,0
60,26,0
19,44,0
42,44,0
26,84,0
17,34,0
19,42,0
42,16,0
34,16,0
44,34,0
29,33,0
31,49,0
28,42,0
1,37,0
16,27,0
26,27,0
38,52,0
53,62,0
34,41,0
34,33,0
31,27,0
40,63,0
30,54,0
23,7,0
39,29,0
25,9,0
19,53,0
21,42,0
42,30,0
24,38,0
18,40,0
76,30,0
18,70,0
41,31,0
29,23,0
20,44,0
20,38,0
37,39,0
27,43,0
23,46,0
26,35,0
22,80,0
54,43,0
18,39,0
31,27,0
18,33,0
31,32,0
18,67,0
54,20,0
31,17,0
29,64,0
32,29,0
16,38,0
36,63,0
19,56,0
51,45,0
50,24,0
48,4,0
34,36,0
27,5,0
42,29,0
33,25,0
36,55,0
60,29,0
29,27,0
31,10,0
26,3,0
55,40,0
26,25,0
55,3,0
23,43,0
38,36,0
31,6,0
55,21,0
49,68,0
45,38,0
32,31,0
48,61,0
27,50,0
31,74,0
31,49,0
24,55,0
26,53,0
33,114,0
30,77,0
30,97,0
26,84,0
22,72,0
25,77,0
27,83,0
20,68,0
25,50,0
43,41,0
31,15,0
26,16,0
27,85,0
26,8,0
48,38,0
33,43,0
36,65,0
24,100,0
29,96,0
29,103,0
27,89,0
25,68,0
27,89,0
26,48,0
18,46,0
18,42,0
48,32,0
32,29,0
35,36,0
31,15,0
17,56,0
17,62,0
18,51,0
37,13,0
20,82,0
53,17,0
35,48,0
23,42,0
33,66,0
32,41,0
19,86,0
31,8,0
39,62,0
19,60,0
36,43,0
21,27,0
44,8,0
33,77,0
32,42,0
35,18,0
25,46,0
34,20,0
33,58,0
38,14,0
23,12,0
35,6,0
16,14,0
20,4,0
31,3,0
21,5,0
54,22,0
29,4,0
43,34,0
24,41,0
20,51,0
29,58,0
35,54,0
26,38,0
37,9,0
31,3,0
35,27,0
16,61,0
20,40,0
25,31,0
23,4,0
23,4,0
43,39,0
43,0,0
28,82,0
29,78,0
27,152,0
31,39,0
23,28,0
31,37,0
24,27,0
80,29,0
31,27,0
37,40,0
79,1,0
26,3,0
27,6,0
22,4,0
34,50,0
19,3,0
25,3,0
42,40,0
22,4,0
30,3,0
32,4,0
20,3,0
25,42,0
30,22,0
16,40,0
35,63,0
44,44,0
34,89,0
32,51,0
33,61,0
31,44,0
23,0,0
54,67,0
60,25,0
14,32,0
32,69,0
23,57,0
25,4,0
38,43,0
34,41,0
30,39,0
32,3,0
31,25,0
23,81,0
31,12,0
45,54,0
37,10,0
19,3,0
53,19,0
37,18,0
44,31,0
31,29,0
27,25,0
46,1,0
33,52,0
37,45,0
57,16,0
18,20,0
26,63,0
37,64,0
17,36,0
49,28,0
45,30,0
40,25,0
42,34,0
30,47,0
47,33,0
26,45,0
34,59,0
18,29,0
14,29,0
41,32,0
23,58,0
37,20,0
27,18,0
21,6,0
21,49,0
25,38,0
15,43,0
15,13,0
31,44,0
34,38,0
29,87,0
18,63,0
40,19,0
66,26,0
31,28,0
19,92,0
25,23,0
21,21,0
42,0,0
31,58,0
25,9,0
42,28,0
22,77,0
54,31,0
40,4,0
28,40,0
32,55,0
30,67,0
28,52,0
33,38,0
41,31,0
31,32,0
28,32,0
15,27,0
49,71,0
49,14,0
10,26,0
31,51,0
30,48,0
32,75,0
34,64,0
22,70,0
30,40,0
29,74,0
19,7,0
42,31,0
39,31,0
33,56,0
24,86,0
23,4,0
38,17,0
33,83,0
28,31,0
18,54,0
39,152,0
30,24,0
62,32,0
45,30,0
19,65,0
20,9,0
27,11,0
23,37,0
20,4,0
42,49,0
20,44,0
35,35,0
50,1,0
21,35,0
23,48,0
18,78,0
53,36,0
33,4,0
27,37,0
23,18,0
32,50,0
18,58,0
18,81,0
45,53,0
20,29,0
31,80,0
31,69,0
32,41,0
28,90,0
23,32,0
27,22,0
54,81,0
35,31,0
24,46,0
35,20,0
32,36,0
31,29,0
29,31,0
32,26,0
30,30,0
35,79,0
37,66,0
36,16,0
27,22,0
29,97,0
60,13,0
31,0,0
20,88,0
33,27,0
23,29,0
0,17,0
31,27,0
24,49,0
30,28,0
30,42,0
35,29,0
25,7,0
25,53,0
32,3,0
30,3,0
20,4,0
36,45,0
90,12,2
34,18,0
45,41,0
29,39,0
18,71,0
59,4,0
43,30,0
20,17,0
31,22,0
63,24,0
61,49,0
45,58,0
19,4,0
18,67,0
31,4,0
32,33,0
25,53,0
17,45,0
28,29,0
33,63,0
74,24,0
55,25,0
34,2,0
50,29,0
42,37,0
28,73,0
36,50,0
57,12,0
24,82,0
30,35,0
33,8,0
48,47,0
33,10,0
60,13,0
55,22,0
55,23,0
39,57,0
33,13,0
30,91,0
27,59,0
62,59,0
27,90,0
19,46,0
41,40,0
32,64,0
17,26,0
59,43,0
23,74,0
76,15,0
39,54,0
34,21,0
34,19,0
44,28,0
58,33,0
21,69,0
21,24,0
38,75,0
26,31,0
37,40,0
19,64,0
70,30,0
47,4,0
28,38,0
47,4,0
34,41,0
36,70,0
27,46,0
32,40,0
21,32,0
30,3,0
31,3,0
30,16,0
36,76,0
33,80,0
16,58,0
28,34,0
39,27,0
36,19,0
22,44,0
25,16,0
40,57,0
39,0,0
46,57,0
21,8,0
39,65,0
21,41,0
