Idade, Força(kg), Condicionamento
32,6,0
32,7,0
21,19,0
34,39,0
36,14,0
28,8,0
28,24,0
36,49,0
47,28,0
22,40,0
31,25,0
29,8,0
20,96,0
36,4,0
32,205,0
31,3,0
31,25,0
32,44,0
32,9,0
29,42,0
33,24,0
28,25,0
33,27,0
40,5,0
36,10,0
29,41,0
31,43,0
59,17,0
21,20,0
33,36,0
43,22,0
52,24,0
43,19,0
43,14,0
36,4,0
31,13,0
28,11,0
36,29,0
34,26,0
43,19,0
28,16,0
60,27,0
47,37,0
52,35,0
30,20,0
27,19,0
35,14,0
35,11,0
53,13,0
29,19,0
33,18,0
41,31,0
29,18,0
42,15,0
31,4,0
29,26,0
38,20,0
42,36,0
32,6,0
38,47,0
32,86,0
39,28,0
34,44,0
34,36,0
49,1,0
37,20,0
25,34,0
28,26,0
27,26,0
35,5,0
29,35,0
24,27,0
33,37,0
54,10,0
24,19,0
32,53,0
30,13,0
24,27,0
37,5,0
37,5,0
1,28,0
37,6,0
28,13,0
32,14,0
46,85,0
25,4,0
63,7,0
29,11,0
19,21,0
35,15,0
36,20,0
31,18,1
32,16,0
47,37,0
67,19,0
40,11,0
30,28,0
34,15,0
32,8,0
31,11,0
29,27,0
25,26,0
39,19,0
33,33,0
25,52,0
22,50,0
29,35,0
31,22,0
31,43,0
25,11,0
23,20,0
29,26,0
30,37,0
36,24,0
23,10,0
54,17,0
44,23,0
23,11,0
50,22,0
35,71,0
64,5,0
40,2,0
39,29,0
28,20,0
29,10,0
28,4,0
23,10,0
38,17,0
50,20,0
14,23,0
16,11,0
29,46,0
45,13,0
37,26,0
32,23,0
79,15,0
34,3,0
37,34,0
33,23,0
31,43,0
28,11,0
67,18,0
40,18,0
38,20,0
31,39,0
35,4,0
29,38,0
24,33,0
20,27,0
21,36,0
20,25,0
27,38,0
23,27,0
32,46,0
25,3,0
24,49,0
22,39,0
36,13,0
31,28,0
29,43,0
21,46,0
20,46,0
20,42,0
21,41,0
20,46,0
22,41,0
22,49,0
22,38,0
21,34,0
22,45,0
43,46,0
19,36,0
21,47,0
19,44,0
20,14,0
20,28,0
20,30,0
55,3,0
49,19,0
28,25,0
20,34,0
22,43,0
21,3,0
22,49,0
21,5,0
20,36,0
22,43,0
22,40,0
21,42,0
22,43,0
20,51,0
20,50,0
22,44,0
22,40,0
35,3,0
29,35,0
26,66,0
32,50,0
29,45,0
37,21,0
29,24,0
31,51,0
39,29,0
23,52,0
35,4,0
37,15,0
24,36,0
24,21,0
23,4,0
39,20,0
35,15,0
33,40,0
26,3,0
