Idade, Força(kg), Condicionamento
21,18,0
34,40,0
36,12,0
28,13,0
36,16,0
47,36,0
22,50,0
31,28,0
29,8,0
35,25,0
20,36,0
36,4,0
32,2,0
31,257,0
31,23,0
32,42,0
29,44,0
33,49,0
28,23,0
33,30,0
40,27,0
36,8,0
29,41,0
31,43,0
59,3,0
21,19,0
33,34,0
43,20,0
52,20,0
43,15,0
43,10,0
43,11,0
43,12,0
36,21,0
31,11,0
28,9,0
36,28,0
34,29,0
43,19,0
60,22,0
47,23,0
52,32,0
30,12,0
27,20,0
35,13,0
29,13,0
29,9,0
42,22,0
31,30,0
35,26,0
29,28,0
38,3,0
42,34,0
32,6,0
38,37,0
39,31,0
34,50,0
34,41,0
37,23,0
25,41,0
27,30,0
29,40,0
24,28,0
33,35,0
54,22,0
24,29,0
32,53,0
30,13,0
37,18,0
24,14,0
37,3,0
43,8,0
1,33,0
28,9,0
32,18,0
46,88,0
25,4,0
63,29,0
29,25,0
19,18,0
35,16,0
36,19,0
31,32,1
33,29,0
32,10,0
47,26,0
67,16,0
40,4,0
30,30,0
34,19,0
32,24,0
31,13,0
29,25,0
25,26,0
39,20,0
33,42,0
25,64,0
22,47,0
29,23,0
31,20,0
31,42,0
29,29,0
23,16,0
29,31,0
30,34,0
36,28,0
23,10,0
23,11,0
50,18,0
35,62,0
64,12,0
45,27,0
28,19,0
38,18,0
49,12,0
28,22,0
23,9,0
50,21,0
14,20,0
16,12,0
29,37,0
37,23,0
32,22,0
34,3,0
33,5,0
31,44,0
41,32,0
28,9,0
67,15,0
40,8,0
38,23,0
31,39,0
35,3,0
29,4,0
24,32,0
20,25,0
21,32,0
20,28,0
27,35,0
23,33,0
32,50,0
25,4,0
24,50,0
22,49,0
36,17,0
31,25,0
29,38,0
21,45,0
20,45,0
20,46,0
21,40,0
20,42,0
22,45,0
21,34,0
22,40,0
40,30,0
38,7,0
43,46,0
21,46,0
19,41,0
20,47,0
20,27,0
20,28,0
55,32,0
49,13,0
28,31,0
20,31,0
22,32,0
21,41,0
22,48,0
21,7,0
20,31,0
22,38,0
22,43,0
21,35,0
22,41,0
20,9,0
20,48,0
22,40,0
22,41,0
35,3,0
29,37,0
26,49,0
32,48,0
29,45,0
37,22,0
29,17,0
31,37,0
39,36,0
23,68,0
37,19,0
24,43,0
24,21,0
23,3,0
33,30,0
65,6,0
31,34,0
21,32,0
19,41,0
21,49,0
23,38,0
21,36,0
23,45,0
19,37,0
26,51,0
25,36,0
49,64,0
23,20,0
34,22,0
55,25,0
64,18,0
25,8,0
49,20,0
32,13,0
36,16,0
34,62,0
17,26,0
39,66,0
44,4,0
25,28,0
42,22,0
39,18,0
26,24,0
65,16,0
36,18,0
47,20,0
57,15,0
42,7,0
24,19,0
31,9,0
25,5,0
36,22,0
31,24,0
31,23,0
31,13,0
43,3,0
25,10,0
27,36,0
29,22,0
19,16,0
32,3,0
35,21,0
29,42,0
12,8,0
18,26,0
26,26,0
31,93,0
19,32,0
48,23,0
29,35,0
24,5,0
20,62,0
37,26,0
24,32,0
36,25,0
24,12,0
35,17,0
19,31,0
110,38,0
34,25,0
19,34,0
31,16,0
40,17,0
18,20,0
19,49,0
28,18,0
46,3,0
39,24,0
40,19,0
31,3,0
33,24,0
21,38,0
34,57,0
40,17,0
31,4,0
44,13,0
40,12,0
33,28,0
19,31,0
22,3,0
31,9,0
29,21,0
31,18,0
25,3,0
39,24,0
39,18,0
33,32,0
20,34,0
39,5,0
21,33,0
17,48,0
21,14,0
39,8,0
27,21,0
26,17,0
19,72,0
37,19,0
31,11,0
23,47,0
27,18,0
73,2,0
23,22,0
29,31,0
23,17,0
39,21,0
37,28,0
53,23,0
31,28,0
36,23,0
29,26,0
20,24,0
41,12,0
28,5,0
41,1,0
41,13,0
39,17,0
31,15,0
27,36,0
23,18,0
23,17,0
28,30,0
39,9,0
31,12,0
39,19,0
26,35,0
29,23,0
12,19,0
15,12,0
19,13,0
32,43,0
36,33,0
40,35,0
44,26,0
19,34,0
44,15,0
29,30,0
39,3,0
29,34,0
34,20,0
65,8,0
48,13,0
31,31,0
36,27,0
38,12,0
44,11,0
44,15,0
47,14,0
46,4,0
57,3,0
44,22,0
110,29,0
24,12,0
21,34,0
19,27,0
44,31,0
18,26,0
21,12,0
31,17,0
19,22,0
30,56,0
29,32,0
32,29,0
34,33,0
17,101,0
30,14,0
45,16,0
51,22,0
31,35,0
24,23,0
33,10,0
60,16,0
19,49,0
42,30,0
26,41,0
27,29,0
17,28,0
19,36,0
42,27,0
30,27,0
44,21,0
29,15,0
28,19,0
1,24,0
16,11,0
38,18,0
34,29,0
34,27,0
21,21,0
31,74,0
40,0,0
30,28,0
23,27,0
25,4,0
50,41,0
19,37,0
21,52,0
22,85,0
24,29,0
18,21,0
18,11,0
41,15,0
29,21,0
20,32,0
20,19,0
37,32,0
27,38,0
23,30,0
26,20,0
22,57,0
54,14,0
18,29,0
18,32,0
31,10,0
29,4,0
